Participant,Group,Item,Task,RT,Accuracy
66,L1,leg,Delayed,211,1
66,L1,road,Regular,663,1
66,L1,road,Delayed,226,1
66,L1,roof,Regular,608,1
66,L1,roof,Delayed,224,1
66,L1,sock,Regular,590,1
66,L1,sock,Delayed,197,1
66,L1,tire,Regular,706,1
66,L1,tire,Delayed,242,1
66,L1,wall,Regular,528,0
66,L1,wall,Delayed,353,1
67,L1,bag,Regular,768,0
67,L1,bag,Delayed,632,1
67,L1,coat,Regular,749,0
67,L1,coat,Delayed,306,1
67,L1,doll,Regular,726,1
67,L1,doll,Delayed,389,1
67,L1,heel,Regular,709,1
67,L1,knife,Regular,497,1
67,L1,knife,Delayed,209,1
67,L1,leg,Regular,779,1
67,L1,leg,Delayed,280,1
67,L1,road,Delayed,302,1
67,L1,roof,Delayed,247,1
67,L1,sock,Regular,520,1
67,L1,wall,Regular,814,1
67,L1,wall,Delayed,323,1
68,L1,bag,Regular,1078,0
68,L1,bag,Delayed,670,0
68,L1,coat,Regular,538,1
68,L1,coat,Delayed,1121,1
68,L1,doll,Regular,655,1
68,L1,doll,Delayed,792,1
68,L1,heel,Regular,601,1
68,L1,knife,Regular,419,1
68,L1,knife,Delayed,527,1
68,L1,leg,Regular,540,0
68,L1,leg,Delayed,867,1
68,L1,road,Regular,805,0
68,L1,road,Delayed,381,1
68,L1,roof,Regular,631,1
68,L1,roof,Delayed,302,1
68,L1,sock,Regular,616,1
68,L1,sock,Delayed,441,1
68,L1,tire,Regular,830,1
68,L1,tire,Delayed,661,1
68,L1,wall,Regular,825,1
68,L1,wall,Delayed,674,1
69,L1,bag,Regular,457,1
69,L1,bag,Delayed,322,1
69,L1,doll,Regular,690,1
69,L1,doll,Delayed,489,1
69,L1,heel,Regular,672,1
69,L1,heel,Delayed,563,1
69,L1,knife,Regular,481,1
69,L1,knife,Delayed,1566,1
69,L1,leg,Regular,415,1
69,L1,leg,Delayed,367,1
69,L1,road,Regular,627,1
69,L1,road,Delayed,268,1
69,L1,roof,Regular,457,1
69,L1,roof,Delayed,312,1
69,L1,sock,Regular,669,1
69,L1,sock,Delayed,372,1
69,L1,tire,Regular,732,1
69,L1,tire,Delayed,575,1
69,L1,wall,Regular,460,1
69,L1,wall,Delayed,288,1
70,L1,bag,Regular,1301,0
70,L1,bag,Delayed,374,1
70,L1,hat,Regular,570,1
70,L1,hat,Delayed,377,1
70,L1,knife,Regular,539,1
70,L1,knife,Delayed,378,0
70,L1,leg,Regular,794,1
70,L1,leg,Delayed,620,1
70,L1,road,Regular,697,1
70,L1,road,Delayed,453,1
70,L1,roof,Regular,800,1
70,L1,roof,Delayed,409,0
70,L1,sock,Regular,384,1
70,L1,sock,Delayed,243,1
70,L1,tire,Regular,782,1
70,L1,tire,Delayed,335,1
70,L1,wall,Regular,904,1
71,L1,doll,Regular,810,0
71,L1,doll,Delayed,210,1
71,L1,heel,Regular,683,1
71,L1,heel,Delayed,201,1
71,L1,knife,Regular,699,1
71,L1,leg,Regular,922,1
71,L1,leg,Delayed,516,1
71,L1,road,Regular,766,1
71,L1,roof,Regular,793,1
71,L1,roof,Delayed,207,1
71,L1,sock,Regular,621,1
71,L1,sock,Delayed,424,1
71,L1,tire,Regular,547,0
71,L1,tire,Delayed,348,0
71,L1,wall,Delayed,867,1
72,L1,bag,Regular,701,1
72,L1,bag,Delayed,224,1
72,L1,doll,Regular,797,1
72,L1,doll,Delayed,498,1
72,L1,heel,Regular,561,1
72,L1,heel,Delayed,278,1
72,L1,knife,Regular,642,1
72,L1,knife,Delayed,439,1
72,L1,leg,Regular,586,1
72,L1,leg,Delayed,473,1
72,L1,road,Regular,751,1
72,L1,road,Delayed,454,1
72,L1,roof,Regular,610,1
72,L1,roof,Delayed,409,1
72,L1,sock,Regular,536,1
72,L1,wall,Regular,731,1
72,L1,wall,Delayed,480,1
73,L1,bag,Regular,457,1
73,L1,bag,Delayed,445,1
73,L1,coat,Delayed,553,1
73,L1,doll,Regular,619,1
73,L1,doll,Delayed,468,1
73,L1,heel,Regular,110,1
73,L1,heel,Delayed,291,1
73,L1,knife,Regular,119,1
73,L1,leg,Regular,375,0
73,L1,leg,Delayed,181,1
73,L1,road,Regular,632,1
73,L1,road,Delayed,495,1
73,L1,roof,Delayed,451,1
73,L1,sock,Regular,409,1
73,L1,sock,Delayed,853,1
73,L1,tire,Regular,702,1
73,L1,tire,Delayed,403,1
73,L1,wall,Regular,518,1
73,L1,wall,Delayed,592,1
74,L1,bag,Regular,787,1
74,L1,bag,Delayed,321,1
74,L1,coat,Regular,673,0
74,L1,coat,Delayed,374,1
74,L1,doll,Regular,654,1
74,L1,doll,Delayed,757,1
74,L1,hat,Regular,560,1
74,L1,hat,Delayed,224,1
74,L1,heel,Regular,834,1
74,L1,heel,Delayed,351,0
74,L1,knife,Regular,498,1
74,L1,knife,Delayed,357,1
74,L1,leg,Regular,675,1
74,L1,leg,Delayed,277,1
74,L1,road,Regular,721,1
74,L1,road,Delayed,346,1
74,L1,roof,Regular,1196,1
74,L1,roof,Delayed,335,0
74,L1,sock,Regular,511,1
74,L1,sock,Delayed,276,1
74,L1,tire,Regular,937,1
74,L1,wall,Regular,854,0
74,L1,wall,Delayed,242,1
75,L1,bag,Regular,768,1
75,L1,doll,Regular,681,1
75,L1,doll,Delayed,321,1
75,L1,heel,Regular,422,0
75,L1,heel,Delayed,186,1
75,L1,knife,Regular,331,1
75,L1,knife,Delayed,232,1
75,L1,road,Regular,513,1
75,L1,road,Delayed,237,1
75,L1,roof,Regular,572,1
75,L1,roof,Delayed,402,1
75,L1,sock,Regular,511,1
75,L1,sock,Delayed,242,1
75,L1,tire,Regular,543,1
75,L1,tire,Delayed,231,1
75,L1,wall,Regular,595,1
75,L1,wall,Delayed,321,1
76,L1,coat,Regular,941,0
76,L1,coat,Delayed,864,1
76,L1,doll,Regular,864,1
76,L1,doll,Delayed,810,1
76,L1,heel,Regular,608,1
76,L1,heel,Delayed,807,1
76,L1,knife,Regular,690,1
76,L1,knife,Delayed,955,1
76,L1,leg,Regular,707,1
76,L1,leg,Delayed,809,1
76,L1,road,Regular,787,1
76,L1,road,Delayed,815,1
76,L1,roof,Regular,817,1
76,L1,roof,Delayed,664,1
76,L1,sock,Regular,668,1
76,L1,sock,Delayed,756,1
76,L1,tire,Regular,940,1
76,L1,tire,Delayed,640,1
76,L1,wall,Regular,892,1
76,L1,wall,Delayed,513,1
77,L1,bag,Regular,1008,1
77,L1,bag,Delayed,630,1
77,L1,coat,Regular,1035,0
77,L1,coat,Delayed,677,0
77,L1,doll,Regular,1044,1
77,L1,doll,Delayed,682,1
77,L1,hat,Regular,1225,1
77,L1,hat,Delayed,435,1
77,L1,heel,Regular,773,1
77,L1,heel,Delayed,505,1
77,L1,knife,Regular,518,1
77,L1,knife,Delayed,474,1
77,L1,road,Regular,732,1
77,L1,road,Delayed,614,1
77,L1,roof,Regular,735,1
77,L1,roof,Delayed,462,0
77,L1,sock,Regular,626,1
77,L1,sock,Delayed,674,1
77,L1,tire,Delayed,485,1
77,L1,wall,Regular,523,1
77,L1,wall,Delayed,457,1
78,L1,bag,Regular,860,1
78,L1,bag,Delayed,492,1
78,L1,doll,Regular,675,1
78,L1,doll,Delayed,362,1
78,L1,hat,Regular,1008,1
78,L1,heel,Regular,657,1
78,L1,heel,Delayed,330,1
78,L1,knife,Regular,168,1
78,L1,knife,Delayed,426,1
78,L1,leg,Regular,656,1
78,L1,leg,Delayed,391,1
78,L1,road,Regular,953,1
78,L1,road,Delayed,507,1
78,L1,roof,Regular,931,1
78,L1,roof,Delayed,431,1
78,L1,sock,Regular,632,1
78,L1,sock,Delayed,292,0
78,L1,tire,Delayed,572,1
78,L1,wall,Regular,766,1
79,L1,coat,Regular,895,1
79,L1,coat,Delayed,689,1
79,L1,doll,Regular,317,1
79,L1,doll,Delayed,318,1
79,L1,heel,Regular,437,1
79,L1,heel,Delayed,322,1
79,L1,knife,Regular,387,1
79,L1,knife,Delayed,418,1
79,L1,leg,Regular,674,1
79,L1,leg,Delayed,297,1
79,L1,road,Regular,824,1
79,L1,road,Delayed,278,1
79,L1,roof,Regular,812,1
79,L1,roof,Delayed,170,1
79,L1,sock,Regular,480,1
79,L1,sock,Delayed,177,1
79,L1,tire,Regular,490,1
79,L1,tire,Delayed,230,1
79,L1,wall,Regular,757,1
79,L1,wall,Delayed,246,1
80,L1,bag,Regular,1302,1
80,L1,bag,Delayed,895,1
80,L1,coat,Regular,1074,1
80,L1,coat,Delayed,864,1
80,L1,doll,Delayed,1010,1
80,L1,heel,Delayed,680,1
80,L1,knife,Regular,500,1
80,L1,knife,Delayed,660,1
80,L1,leg,Regular,1107,1
80,L1,leg,Delayed,780,1
80,L1,road,Regular,862,0
80,L1,road,Delayed,752,1
80,L1,roof,Regular,799,1
80,L1,roof,Delayed,558,1
80,L1,sock,Regular,599,1
80,L1,sock,Delayed,1035,1
80,L1,tire,Regular,1289,1
80,L1,tire,Delayed,890,1
80,L1,wall,Delayed,734,0
81,L1,bag,Delayed,863,1
81,L1,doll,Regular,1021,1
81,L1,doll,Delayed,1021,1
81,L1,heel,Regular,880,0
81,L1,heel,Delayed,436,1
81,L1,knife,Regular,349,1
81,L1,knife,Delayed,592,0
81,L1,leg,Regular,912,1
81,L1,leg,Delayed,700,1
81,L1,road,Regular,996,1
81,L1,road,Delayed,956,1
81,L1,roof,Regular,706,1
81,L1,roof,Delayed,880,1
81,L1,sock,Regular,886,1
81,L1,sock,Delayed,584,1
81,L1,tire,Regular,918,0
81,L1,tire,Delayed,559,1
81,L1,wall,Regular,1095,1
81,L1,wall,Delayed,733,1
82,L1,bag,Regular,1141,1
82,L1,bag,Delayed,554,1
82,L1,doll,Regular,883,1
82,L1,doll,Delayed,450,1
82,L1,heel,Regular,898,1
82,L1,heel,Delayed,677,1
82,L1,knife,Regular,638,1
82,L1,knife,Delayed,394,1
82,L1,leg,Regular,776,0
82,L1,leg,Delayed,415,1
82,L1,road,Regular,758,0
82,L1,road,Delayed,570,1
82,L1,roof,Regular,810,1
82,L1,roof,Delayed,512,1
82,L1,sock,Regular,613,1
82,L1,sock,Delayed,388,0
82,L1,tire,Regular,1029,1
82,L1,wall,Regular,1016,1
82,L1,wall,Delayed,378,1
83,L1,bag,Regular,749,1
83,L1,bag,Delayed,320,1
83,L1,doll,Delayed,454,1
83,L1,heel,Regular,859,1
83,L1,heel,Delayed,342,1
83,L1,knife,Regular,1109,1
83,L1,knife,Delayed,254,1
83,L1,leg,Delayed,361,0
83,L1,road,Regular,693,1
83,L1,road,Delayed,364,1
83,L1,roof,Regular,816,1
83,L1,roof,Delayed,307,1
83,L1,sock,Regular,414,1
83,L1,sock,Delayed,251,1
83,L1,tire,Delayed,282,1
83,L1,wall,Regular,657,1
83,L1,wall,Delayed,537,1
84,L1,bag,Regular,975,1
84,L1,bag,Delayed,483,1
84,L1,doll,Regular,641,1
84,L1,doll,Delayed,325,1
84,L1,heel,Regular,849,1
84,L1,heel,Delayed,435,1
84,L1,knife,Regular,658,1
84,L1,knife,Delayed,325,1
84,L1,leg,Regular,611,1
84,L1,leg,Delayed,410,1
84,L1,road,Regular,892,1
84,L1,road,Delayed,365,1
84,L1,roof,Regular,849,1
84,L1,roof,Delayed,487,1
84,L1,sock,Regular,544,1
84,L1,sock,Delayed,372,1
84,L1,wall,Regular,935,1
84,L1,wall,Delayed,871,1
85,L1,hat,Regular,796,1
85,L1,heel,Delayed,611,1
85,L1,knife,Regular,1031,1
85,L1,knife,Delayed,341,1
85,L1,leg,Delayed,676,1
85,L1,road,Regular,1014,1
85,L1,road,Delayed,922,1
85,L1,roof,Regular,983,1
85,L1,roof,Delayed,615,1
85,L1,sock,Regular,820,1
85,L1,sock,Delayed,493,1
85,L1,tire,Regular,936,1
85,L1,tire,Delayed,576,1
85,L1,wall,Delayed,610,1
86,L1,bag,Regular,599,1
86,L1,bag,Delayed,303,1
86,L1,coat,Delayed,380,1
86,L1,doll,Regular,720,1
86,L1,doll,Delayed,340,1
86,L1,hat,Regular,545,1
86,L1,hat,Delayed,269,1
86,L1,heel,Regular,649,1
86,L1,heel,Delayed,237,1
86,L1,knife,Regular,495,1
86,L1,knife,Delayed,173,1
86,L1,road,Regular,677,1
86,L1,road,Delayed,226,0
86,L1,roof,Regular,680,1
86,L1,roof,Delayed,320,1
86,L1,sock,Regular,470,1
86,L1,sock,Delayed,196,1
86,L1,tire,Regular,594,1
86,L1,tire,Delayed,254,1
86,L1,wall,Regular,553,1
86,L1,wall,Delayed,259,1
87,L1,bag,Regular,556,0
87,L1,coat,Regular,705,1
87,L1,coat,Delayed,815,1
87,L1,doll,Regular,648,1
87,L1,doll,Delayed,309,1
87,L1,heel,Regular,640,1
87,L1,heel,Delayed,619,1
87,L1,knife,Regular,577,1
87,L1,knife,Delayed,357,1
87,L1,leg,Regular,609,1
87,L1,leg,Delayed,584,1
87,L1,road,Regular,763,1
87,L1,road,Delayed,693,1
87,L1,roof,Regular,285,1
87,L1,roof,Delayed,295,1
87,L1,sock,Regular,482,0
87,L1,sock,Delayed,257,1
87,L1,tire,Regular,621,1
87,L1,tire,Delayed,287,1
87,L1,wall,Regular,686,1
87,L1,wall,Delayed,324,1
88,L1,bag,Regular,892,1
88,L1,bag,Delayed,486,1
88,L1,doll,Regular,612,1
88,L1,doll,Delayed,485,1
88,L1,knife,Regular,843,1
88,L1,knife,Delayed,897,1
88,L1,leg,Regular,671,1
88,L1,leg,Delayed,607,1
88,L1,road,Regular,567,1
88,L1,road,Delayed,585,1
88,L1,roof,Regular,768,1
88,L1,roof,Delayed,502,1
88,L1,sock,Regular,661,1
88,L1,tire,Regular,580,1
88,L1,tire,Delayed,376,1
88,L1,wall,Regular,786,0
88,L1,wall,Delayed,408,1
89,L1,bag,Regular,1000,1
89,L1,bag,Delayed,579,1
89,L1,doll,Regular,801,1
89,L1,doll,Delayed,705,1
89,L1,hat,Regular,780,1
89,L1,hat,Delayed,665,1
89,L1,heel,Regular,405,1
89,L1,knife,Regular,662,1
89,L1,road,Regular,927,1
89,L1,road,Delayed,701,1
89,L1,roof,Regular,416,1
89,L1,roof,Delayed,232,1
89,L1,sock,Regular,717,1
89,L1,sock,Delayed,519,1
89,L1,tire,Regular,853,1
89,L1,wall,Regular,153,1
89,L1,wall,Delayed,640,1
90,L1,bag,Regular,534,1
90,L1,bag,Delayed,265,1
90,L1,coat,Delayed,262,1
90,L1,doll,Regular,520,1
90,L1,doll,Delayed,150,1
90,L1,hat,Regular,571,1
90,L1,hat,Delayed,301,1
90,L1,heel,Regular,559,1
90,L1,heel,Delayed,163,1
90,L1,leg,Regular,384,1
90,L1,leg,Delayed,202,1
90,L1,road,Regular,699,1
90,L1,road,Delayed,229,1
90,L1,roof,Regular,426,1
90,L1,roof,Delayed,260,1
90,L1,sock,Regular,770,1
90,L1,sock,Delayed,273,1
90,L1,tire,Regular,737,1
90,L1,tire,Delayed,257,1
90,L1,wall,Regular,754,1
90,L1,wall,Delayed,379,1
91,L1,bag,Delayed,187,1
91,L1,doll,Regular,670,1
91,L1,doll,Delayed,546,1
91,L1,hat,Regular,928,1
91,L1,hat,Delayed,383,1
91,L1,heel,Regular,644,1
91,L1,heel,Delayed,389,1
91,L1,knife,Regular,437,1
91,L1,knife,Delayed,226,1
91,L1,road,Regular,425,1
91,L1,road,Delayed,414,1
91,L1,roof,Regular,339,1
91,L1,roof,Delayed,333,1
91,L1,sock,Regular,499,1
91,L1,tire,Regular,540,1
91,L1,tire,Delayed,352,1
91,L1,wall,Delayed,268,1
2,L2,cloud,Regular,720,1
2,L2,dress,Regular,672,1
2,L2,dress,Delayed,536,1
2,L2,horse,Regular,785,1
2,L2,horse,Delayed,431,1
2,L2,witch,Regular,971,1
2,L2,witch,Delayed,503,1
4,L2,dress,Regular,968,1
4,L2,dress,Delayed,376,1
4,L2,ghost,Regular,1293,0
4,L2,snail,Delayed,671,1
4,L2,witch,Regular,1072,1
5,L2,cloud,Regular,858,1
5,L2,dress,Regular,709,1
5,L2,dress,Delayed,408,1
5,L2,horse,Regular,694,1
5,L2,horse,Delayed,376,1
5,L2,plate,Regular,671,1
5,L2,plate,Delayed,358,1
5,L2,snail,Regular,895,1
5,L2,witch,Regular,740,1
6,L2,cloud,Regular,1177,1
6,L2,dress,Regular,975,1
6,L2,dress,Delayed,489,1
6,L2,ghost,Regular,913,1
6,L2,ghost,Delayed,775,0
6,L2,horse,Regular,658,1
6,L2,horse,Delayed,343,0
6,L2,plate,Regular,1008,1
6,L2,plate,Delayed,528,1
6,L2,witch,Regular,754,1
6,L2,witch,Delayed,648,1
7,L2,dress,Regular,1592,1
7,L2,ghost,Regular,1384,1
7,L2,ghost,Delayed,328,0
7,L2,horse,Delayed,640,1
7,L2,plate,Delayed,1344,1
7,L2,witch,Regular,1087,1
7,L2,witch,Delayed,384,1
11,L2,cloud,Delayed,380,1
11,L2,dress,Regular,1112,0
11,L2,dress,Delayed,262,1
11,L2,ghost,Regular,1147,1
11,L2,ghost,Delayed,239,1
11,L2,horse,Regular,1114,1
11,L2,horse,Delayed,318,1
11,L2,snail,Regular,1440,1
11,L2,snail,Delayed,231,1
11,L2,witch,Regular,1000,1
11,L2,witch,Delayed,295,1
12,L2,cloud,Regular,1032,1
12,L2,cloud,Delayed,520,1
12,L2,dress,Regular,992,1
12,L2,dress,Delayed,655,1
12,L2,horse,Regular,968,0
12,L2,horse,Delayed,433,1
12,L2,plate,Delayed,1016,1
12,L2,witch,Regular,968,1
12,L2,witch,Delayed,455,0
13,L2,dress,Regular,1359,1
13,L2,dress,Delayed,366,1
13,L2,horse,Regular,1507,1
13,L2,horse,Delayed,618,1
13,L2,plate,Regular,976,1
13,L2,plate,Delayed,464,1
13,L2,witch,Regular,772,1
13,L2,witch,Delayed,356,1
15,L2,cloud,Regular,1028,0
15,L2,cloud,Delayed,281,0
15,L2,dress,Delayed,306,1
15,L2,ghost,Regular,1153,1
15,L2,ghost,Delayed,256,1
15,L2,horse,Regular,705,0
15,L2,horse,Delayed,232,1
15,L2,plate,Regular,926,1
15,L2,plate,Delayed,268,1
15,L2,snail,Regular,584,0
15,L2,witch,Regular,1011,1
15,L2,witch,Delayed,330,1
16,L2,cloud,Regular,1607,0
16,L2,cloud,Delayed,728,1
16,L2,dress,Regular,1199,1
16,L2,dress,Delayed,464,1
16,L2,horse,Regular,857,1
16,L2,horse,Delayed,416,1
16,L2,shirt,Regular,982,1
16,L2,shirt,Delayed,385,1
16,L2,witch,Regular,1240,0
16,L2,witch,Delayed,464,1
17,L2,dress,Regular,984,0
17,L2,dress,Delayed,992,1
17,L2,ghost,Delayed,784,1
17,L2,horse,Regular,664,1
17,L2,horse,Delayed,536,1
17,L2,plate,Regular,784,1
17,L2,plate,Delayed,387,1
17,L2,witch,Regular,992,1
17,L2,witch,Delayed,392,1
18,L2,cloud,Regular,1088,1
18,L2,cloud,Delayed,400,0
18,L2,dress,Regular,820,0
18,L2,dress,Delayed,395,1
18,L2,ghost,Regular,1112,1
18,L2,ghost,Delayed,312,1
18,L2,horse,Regular,649,1
18,L2,horse,Delayed,312,1
18,L2,plate,Delayed,343,1
18,L2,witch,Regular,816,1
18,L2,witch,Delayed,376,1
19,L2,cloud,Regular,420,1
19,L2,cloud,Delayed,353,1
19,L2,dress,Regular,759,0
19,L2,dress,Delayed,420,1
19,L2,ghost,Regular,787,1
19,L2,ghost,Delayed,447,1
19,L2,horse,Regular,541,1
19,L2,horse,Delayed,437,1
19,L2,snail,Regular,557,1
19,L2,snail,Delayed,401,1
19,L2,witch,Regular,528,1
19,L2,witch,Delayed,416,1
20,L2,cloud,Regular,752,1
20,L2,cloud,Delayed,353,1
20,L2,dress,Regular,1272,1
20,L2,dress,Delayed,248,1
20,L2,ghost,Regular,856,1
20,L2,ghost,Delayed,428,1
20,L2,horse,Regular,864,1
20,L2,horse,Delayed,368,1
20,L2,witch,Regular,1124,1
20,L2,witch,Delayed,416,1
21,L2,horse,Delayed,360,1
21,L2,witch,Regular,1432,0
21,L2,witch,Delayed,368,1
22,L2,dress,Delayed,336,1
22,L2,ghost,Delayed,373,1
22,L2,horse,Regular,952,1
22,L2,horse,Delayed,344,1
22,L2,witch,Delayed,350,1
24,L2,cloud,Regular,832,1
24,L2,cloud,Delayed,235,1
24,L2,dress,Regular,962,1
24,L2,dress,Delayed,202,1
24,L2,ghost,Regular,1048,0
24,L2,ghost,Delayed,503,1
24,L2,horse,Regular,848,1
24,L2,horse,Delayed,280,1
24,L2,plate,Delayed,216,1
24,L2,witch,Regular,816,1
24,L2,witch,Delayed,264,1
25,L2,cloud,Regular,680,1
25,L2,cloud,Delayed,432,1
25,L2,dress,Regular,832,1
25,L2,dress,Delayed,376,1
25,L2,ghost,Regular,712,1
25,L2,ghost,Delayed,312,1
25,L2,horse,Regular,576,1
25,L2,horse,Delayed,424,1
25,L2,plate,Regular,639,1
25,L2,plate,Delayed,424,1
25,L2,snail,Regular,512,1
25,L2,snail,Delayed,264,1
25,L2,witch,Regular,680,1
25,L2,witch,Delayed,312,1
26,L2,ghost,Delayed,1448,1
26,L2,horse,Regular,665,1
26,L2,horse,Delayed,258,1
27,L2,cloud,Regular,1104,1
27,L2,cloud,Delayed,720,1
27,L2,ghost,Delayed,1026,1
28,L2,dress,Delayed,684,1
28,L2,ghost,Regular,728,1
28,L2,ghost,Delayed,504,1
28,L2,horse,Regular,679,1
28,L2,horse,Delayed,480,1
28,L2,plate,Regular,967,1
28,L2,plate,Delayed,493,0
28,L2,witch,Regular,875,0
28,L2,witch,Delayed,992,1
29,L2,cloud,Regular,856,1
29,L2,cloud,Delayed,1520,1
29,L2,dress,Regular,638,1
29,L2,dress,Delayed,395,1
29,L2,horse,Regular,616,1
29,L2,horse,Delayed,344,1
29,L2,plate,Regular,1616,1
29,L2,plate,Delayed,1344,1
30,L2,cloud,Regular,650,1
30,L2,cloud,Delayed,456,1
30,L2,dress,Regular,904,1
30,L2,dress,Delayed,583,1
30,L2,ghost,Regular,1074,1
30,L2,horse,Regular,652,1
30,L2,horse,Delayed,497,1
30,L2,plate,Delayed,522,1
30,L2,shirt,Regular,1032,1
30,L2,snail,Regular,636,1
30,L2,snail,Delayed,413,1
30,L2,witch,Regular,952,1
30,L2,witch,Delayed,352,1
31,L2,plate,Delayed,530,1
31,L2,plug,Delayed,860,1
32,L2,cloud,Regular,944,1
32,L2,cloud,Delayed,456,1
32,L2,horse,Regular,816,1
32,L2,horse,Delayed,384,1
32,L2,plate,Regular,1000,1
32,L2,plate,Delayed,528,1
32,L2,snail,Delayed,536,1
32,L2,stool,Regular,1061,1
32,L2,stool,Delayed,418,1
32,L2,witch,Regular,1464,0
32,L2,witch,Delayed,392,1
33,L2,cloud,Regular,807,1
33,L2,cloud,Delayed,526,1
33,L2,dress,Regular,1160,1
33,L2,dress,Delayed,393,1
33,L2,ghost,Regular,976,1
33,L2,ghost,Delayed,856,1
33,L2,horse,Regular,789,1
33,L2,plate,Delayed,945,1
33,L2,shirt,Regular,896,1
33,L2,shirt,Delayed,336,1
33,L2,witch,Regular,1488,1
33,L2,witch,Delayed,560,1
34,L2,cloud,Regular,1101,1
34,L2,cloud,Delayed,353,1
34,L2,dress,Regular,1220,0
34,L2,dress,Delayed,424,1
34,L2,ghost,Regular,1056,1
34,L2,ghost,Delayed,189,1
34,L2,horse,Regular,764,1
34,L2,horse,Delayed,333,1
34,L2,plate,Delayed,418,1
34,L2,snail,Delayed,337,1
34,L2,witch,Regular,1049,1
34,L2,witch,Delayed,293,0
35,L2,cloud,Regular,936,1
35,L2,cloud,Delayed,518,1
35,L2,dress,Delayed,928,1
35,L2,ghost,Regular,1336,1
35,L2,ghost,Delayed,443,1
35,L2,horse,Regular,859,1
35,L2,horse,Delayed,400,1
35,L2,plate,Regular,1160,1
35,L2,plate,Delayed,488,1
35,L2,shirt,Delayed,280,1
35,L2,snail,Regular,1096,1
35,L2,snail,Delayed,296,1
35,L2,stool,Delayed,208,1
35,L2,witch,Regular,1272,1
35,L2,witch,Delayed,392,1
36,L2,cloud,Regular,1020,1
36,L2,cloud,Delayed,384,1
36,L2,dress,Regular,1008,1
36,L2,dress,Delayed,624,1
36,L2,ghost,Regular,1016,0
36,L2,ghost,Delayed,424,1
36,L2,horse,Regular,760,1
36,L2,horse,Delayed,440,1
36,L2,plate,Regular,1305,1
36,L2,plate,Delayed,472,1
36,L2,snail,Delayed,312,1
36,L2,witch,Delayed,608,1
37,L2,cloud,Regular,568,0
37,L2,cloud,Delayed,416,1
37,L2,dress,Regular,752,1
37,L2,dress,Delayed,584,1
37,L2,ghost,Regular,984,1
37,L2,horse,Regular,1144,0
37,L2,horse,Delayed,408,1
37,L2,plate,Regular,968,0
37,L2,plate,Delayed,376,1
37,L2,witch,Regular,616,1
37,L2,witch,Delayed,584,1
38,L2,cloud,Regular,792,1
38,L2,cloud,Delayed,816,1
38,L2,dress,Regular,1005,0
38,L2,dress,Delayed,792,1
38,L2,ghost,Regular,1032,1
38,L2,ghost,Delayed,680,1
38,L2,horse,Regular,736,1
38,L2,horse,Delayed,580,1
38,L2,plate,Regular,1003,1
38,L2,plate,Delayed,664,1
38,L2,snail,Regular,880,0
38,L2,snail,Delayed,552,1
38,L2,witch,Regular,709,1
38,L2,witch,Delayed,632,1
39,L2,cloud,Delayed,601,1
39,L2,dress,Delayed,541,1
39,L2,ghost,Delayed,545,1
39,L2,horse,Regular,1028,1
39,L2,plate,Delayed,352,1
39,L2,shirt,Delayed,792,0
39,L2,witch,Regular,1355,0
39,L2,witch,Delayed,568,1
40,L2,cloud,Delayed,896,1
40,L2,dress,Regular,896,0
40,L2,dress,Delayed,366,1
40,L2,ghost,Regular,759,1
40,L2,ghost,Delayed,344,1
40,L2,horse,Regular,928,1
40,L2,horse,Delayed,816,1
40,L2,plate,Regular,951,1
40,L2,plate,Delayed,304,1
40,L2,snail,Regular,837,1
40,L2,snail,Delayed,344,1
40,L2,witch,Regular,903,1
40,L2,witch,Delayed,472,1
41,L2,cloud,Regular,784,1
41,L2,dress,Regular,680,0
41,L2,dress,Delayed,274,1
41,L2,horse,Regular,689,1
41,L2,horse,Delayed,416,1
41,L2,plate,Regular,699,0
41,L2,plate,Delayed,428,1
41,L2,snail,Regular,760,1
41,L2,snail,Delayed,243,1
41,L2,witch,Regular,688,1
41,L2,witch,Delayed,360,1
42,L2,cloud,Delayed,312,1
42,L2,dress,Regular,768,1
42,L2,dress,Delayed,358,1
42,L2,ghost,Regular,1001,0
42,L2,ghost,Delayed,220,1
42,L2,horse,Regular,824,1
42,L2,horse,Delayed,343,1
42,L2,plate,Regular,945,1
42,L2,plate,Delayed,272,1
42,L2,shirt,Delayed,1088,1
42,L2,witch,Regular,822,1
42,L2,witch,Delayed,240,1
43,L2,cloud,Regular,826,1
43,L2,cloud,Delayed,277,1
43,L2,dress,Delayed,316,1
43,L2,horse,Regular,629,1
43,L2,horse,Delayed,224,1
43,L2,plate,Regular,904,1
43,L2,plate,Delayed,1031,1
43,L2,witch,Regular,680,0
43,L2,witch,Delayed,352,1
44,L2,cloud,Regular,687,1
44,L2,cloud,Delayed,478,1
44,L2,dress,Regular,1032,1
44,L2,dress,Delayed,256,1
44,L2,ghost,Regular,1034,0
44,L2,ghost,Delayed,392,1
44,L2,horse,Regular,793,0
44,L2,plate,Regular,928,1
44,L2,shirt,Regular,755,0
44,L2,witch,Regular,928,0
44,L2,witch,Delayed,744,0
46,L2,cloud,Delayed,415,1
46,L2,dress,Delayed,425,1
46,L2,horse,Regular,936,1
46,L2,horse,Delayed,468,1
46,L2,plate,Delayed,377,1
46,L2,witch,Delayed,544,1
48,L2,cloud,Regular,1123,1
48,L2,cloud,Delayed,567,1
